year,month,rainfall,Flood
1991,Oct,207.657,0
1991,Nov,375.267,0
1991,Dec,6.326,0
1992,Jan,15.274,0
1992,Feb,0,0
1992,Mar,0,0
1992,Apr,0.3,0
1992,May,33.191,0
1992,Jun,18.283,0
1992,Jul,80.543,0
1992,Aug,135.651,0
1992,Sep,65.956,0
1992,Oct,122.033,0
1992,Nov,348.91,0
1992,Dec,125.961,0
1993,Jan,0.353,0
1993,Feb,0.318,0
1993,Mar,0.841,0
1993,Apr,0.817,0
1993,May,128.109,0
1993,Jun,68.942,0
1993,Jul,84.341,0
1993,Aug,229.481,0
1993,Sep,64.293,0
1993,Oct,294.568,0
1993,Nov,336.486,0
1993,Dec,286.091,0
1994,Jan,0.847,0
1994,Feb,59.235,0
1994,Mar,0.247,0
1994,Apr,1.97,0
1994,May,77.484,0
1994,Jun,39.444,0
1994,Jul,66.058,0
1994,Aug,151.224,0
1994,Sep,49.261,0
1994,Oct,331.912,0
1994,Nov,355.806,0
1994,Dec,35.342,0
1995,Jan,46.256,0
1995,Feb,1.857,0
1995,Mar,10.376,0
1995,Apr,6.413,0
1995,May,55.398,0
1995,Jun,26.284,0
1995,Jul,120.604,0
1995,Aug,372.275,0
1995,Sep,223.909,0
1995,Oct,183.515,0
1995,Nov,153.495,0
1995,Dec,17.521,0
1996,Jan,0.988,0
1996,Feb,0.77,0
1996,Mar,0,0
1996,Apr,33.661,0
1996,May,32.284,0
1996,Jun,157.982,0
1996,Jul,67.901,0
1996,Aug,85.77,0
1996,Sep,218.46,0
1996,Oct,279.554,0
1996,Nov,259.982,0
1996,Dec,374.415,0
1997,Jan,8.851,0
1997,Feb,0,0
1997,Mar,1.012,0
1997,Apr,23.28,0
1997,May,6.293,0
1997,Jun,72.541,0
1997,Jul,38.536,0
1997,Aug,91.676,0
1997,Sep,79.875,0
1997,Oct,220.989,0
1997,Nov,617.086,0
1997,Dec,338.405,0
1998,Jan,1.205,0
1998,Feb,0.023,0
1998,Mar,0,0
1998,Apr,10.866,0
1998,May,47.154,0
1998,Jun,22.407,0
1998,Jul,105.531,0
1998,Aug,153.259,0
1998,Sep,64.596,0
1998,Oct,103.728,0
1998,Nov,315.819,0
1998,Dec,252.369,0
1999,Jan,3.892,0
1999,Feb,5.715,0
1999,Mar,0,0
1999,Apr,8.059,0
1999,May,13.312,0
1999,Jun,84.009,0
1999,Jul,46.052,0
1999,Aug,187.897,0
1999,Sep,120.967,0
1999,Oct,208.311,0
1999,Nov,158.69,0
1999,Dec,75.501,0
2000,Jan,1.498,0
2000,Feb,53.976,0
2000,Mar,0.035,0
2000,Apr,14.39,0
2000,May,27.954,0
2000,Jun,77.208,0
2000,Jul,108.573,0
2000,Aug,123.98,0
2000,Sep,184.917,0
2000,Oct,236.439,0
2000,Nov,136.547,0
2000,Dec,56.926,0
2001,Jan,1.363,0
2001,Feb,0.035,0
2001,Mar,0,0
2001,Apr,22.973,0
2001,May,20.324,0
2001,Jun,62.783,0
2001,Jul,105.955,0
2001,Aug,70.783,0
2001,Sep,156.514,0
2001,Oct,347.236,0
2001,Nov,204.658,0
2001,Dec,211.903,0
2002,Jan,30.895,0
2002,Feb,4.253,0
2002,Mar,0,0
2002,Apr,0.288,0
2002,May,52.47,0
2002,Jun,16.879,0
2002,Jul,49.998,0
2002,Aug,160.659,0
2002,Sep,123.594,0
2002,Oct,287.694,0
2002,Nov,343.537,0
2002,Dec,41.369,0
2004,Jan,37.7,0
2004,Feb,0,0
2004,Mar,2.6,0
2004,Apr,10.6,0
2004,May,232.7,0
2004,Jun,54.6,0
2004,Jul,51,0
2004,Aug,49.7,0
2004,Sep,261.7,0
2004,Oct,329.6,0
2004,Nov,257.7,0
2004,Dec,10.8,0
2005,Jan,1.2,0
2005,Feb,5.9,0
2005,Mar,0.8,0
2005,Apr,122.7,0
2005,May,41.7,0
2005,Jun,22.5,0
2005,Jul,121,0
2005,Aug,60.3,0
2005,Sep,121,0
2005,Oct,938.7,1
2005,Nov,603.7,1
2005,Dec,442.1,0
2006,Jan,2.6,0
2006,Feb,0,0
2006,Mar,17.9,0
2006,Apr,10.6,0
2006,May,16.1,0
2006,Jun,59.1,0
2006,Jul,100.9,0
2006,Aug,139.2,0
2006,Sep,134.1,0
2006,Oct,646.6,0
2006,Nov,257.9,0
2006,Dec,20.6,0
2007,Jan,0,0
2007,Feb,14.4,0
2007,Mar,0,0
2007,Apr,5.3,0
2007,May,1.8,0
2007,Jun,100.1,0
2007,Jul,218.7,0
2007,Aug,196.1,0
2007,Sep,161.7,0
2007,Oct,253.7,0
2007,Nov,99.5,0
2007,Dec,242.8,0
2008,Jan,63.1,0
2008,Feb,11.2,0
2008,Mar,114.2,0
2008,Apr,11.7,0
2008,May,0.1,0
2008,Jun,65.1,0
2008,Jul,23,0
2008,Aug,100.5,0
2008,Sep,97.1,0
2008,Oct,378,0
2008,Nov,521.1,0
2008,Dec,6.8,0
2009,Jan,13.1,0
2009,Feb,0,0
2009,Mar,0.7,0
2009,Apr,0,0
2009,May,14,0
2009,Jun,11.3,0
2009,Jul,41.8,0
2009,Aug,93.9,0
2009,Sep,73.6,0
2009,Oct,46.5,0
2009,Nov,493.8,0
2009,Dec,259.5,0
2010,Jan,4.7,0
2010,Feb,0.1,0
2010,Mar,0,0
2010,Apr,0,0
2010,May,191.1,0
2010,Jun,120.2,0
2010,Jul,146,0
2010,Aug,195.1,0
2010,Sep,107.5,0
2010,Oct,165.6,0
2010,Nov,224.2,0
2010,Dec,263.7,0
2012,Jan,17,0
2012,Feb,0,0
2012,Mar,0.5,0
2012,Apr,0,0
2012,May,0,0
2012,Jun,21.2,0
2012,Jul,67.3,0
2012,Aug,94.5,0
2012,Sep,164,0
2012,Oct,394.3,0
2012,Nov,39.2,0
2012,Dec,134.4,0
2013,Jan,0,0
2013,Feb,16.9,0
2013,Mar,25.1,0
2013,Apr,1.9,0
2013,May,1.8,0
2013,Jun,40.3,0
2013,Jul,154.7,0
2013,Aug,194.8,0
2013,Sep,210.2,0
2013,Oct,195.4,0
2013,Nov,174.4,0
2013,Dec,93.7,0
2014,Jan,0,0
2014,Feb,7.1,0
2014,Mar,0,0
2014,Apr,0,0
2014,May,30.5,0
2014,Jun,141.6,0
2014,Jul,47.3,0
2014,Aug,210.9,0
2014,Sep,129.6,0
2014,Oct,386,0
2014,Nov,182.4,0
2014,Dec,151.2,0
2015,Jan,14,0
2015,Feb,0,0
2015,Mar,0,0
2015,Apr,52.8,0
2015,May,6.4,0
2015,Jun,26.4,0
2015,Jul,153.5,0
2015,Aug,120.5,0
2015,Sep,69.5,0
2015,Oct,149,0
2015,Nov,1017.7,1
2015,Dec,447.8,0
2016,Jan,0.5,0
2016,Feb,0,0
2016,Mar,0,0
2016,Apr,0,0
2016,May,198.1,0
2016,Jun,109.3,0
2016,Jul,59.6,0
2016,Aug,51.7,0
2016,Sep,275.3,0
2016,Oct,28.8,0
2016,Nov,66.1,0
